2067987 , 0m17.778s  , 1m1.529s  , 0m8.865s  
2078756 , 0m18.435s  , 1m3.267s  , 0m8.807s  
2108548 , 0m17.703s  , 1m0.952s  , 0m9.086s  
2118971 , 0m17.948s  , 1m1.930s  , 0m8.870s  
2138269 , 0m17.757s  , 1m1.346s  , 0m8.873s  
2157947 , 0m17.765s  , 1m1.164s  , 0m8.977s  
2169210 , 0m18.056s  , 1m2.003s  , 0m9.075s  
2180392 , 0m18.039s  , 1m1.886s  , 0m9.138s  
2192860 , 0m18.091s  , 1m1.961s  , 0m9.251s  
2201393 , 0m18.212s  , 1m2.607s  , 0m9.151s  
2232227 , 0m18.072s  , 1m2.492s  , 0m8.986s  
2251299 , 0m17.906s  , 1m1.987s  , 0m8.797s  
2270739 , 0m17.857s  , 1m1.757s  , 0m8.972s  
2278927 , 0m17.382s  , 0m59.945s  , 0m8.861s  
2290483 , 0m18.633s  , 1m4.130s  , 0m9.363s  
2302953 , 0m18.445s  , 1m3.541s  , 0m9.334s  
2313408 , 0m18.203s  , 1m2.971s  , 0m9.021s  
2326506 , 0m18.499s  , 1m3.945s  , 0m9.283s  
2339196 , 0m17.910s  , 1m2.024s  , 0m8.992s  
2358231 , 0m18.210s  , 1m2.726s  , 0m9.241s  
2366513 , 0m18.150s  , 1m3.163s  , 0m8.799s  
2380980 , 0m18.225s  , 1m2.425s  , 0m9.463s  
2399769 , 0m17.936s  , 1m1.805s  , 0m8.788s  
2419965 , 0m18.182s  , 1m2.752s  , 0m8.868s  
2438312 , 0m18.152s  , 1m2.675s  , 0m9.016s  
2460718 , 0m18.017s  , 1m2.302s  , 0m8.862s  
2481574 , 0m17.791s  , 1m1.685s  , 0m8.681s  
2491273 , 0m18.413s  , 1m3.581s  , 0m9.216s  
2502260 , 0m18.857s  , 1m5.195s  , 0m9.369s  
2516927 , 0m18.087s  , 1m2.073s  , 0m9.200s  
2532373 , 0m17.545s  , 1m0.440s  , 0m8.825s  
2543843 , 0m17.149s  , 0m59.353s  , 0m8.542s  
2559484 , 0m17.863s  , 1m1.391s  , 0m9.116s  
2579963 , 0m17.209s  , 0m59.451s  , 0m8.494s  
2592588 , 0m18.206s  , 1m2.674s  , 0m9.224s  
2602134 , 0m18.504s  , 1m3.928s  , 0m9.269s  
2627428 , 0m17.933s  , 1m2.075s  , 0m8.949s  
